condition,day,a1g_normalized,source
NativeHfS2-35%RH,0,1.000,Ref[13]
NativeHfS2-35%RH,3,0.850,Ref[13]
NativeHfS2-35%RH,7,0.700,Ref[13]
NativeHfS2-35%RH,14,0.550,Ref[13]
NativeHfS2-35%RH,28,0.399,Ref[13]
NativeHfS2-70%RH,0,1.000,Ref[13]
NativeHfS2-70%RH,3,0.500,Ref[13]
NativeHfS2-70%RH,7,0.100,Ref[13]
NativeHfS2-70%RH,14,0.060,Ref[13]
NativeHfS2-70%RH,28,0.060,Ref[13]
Al2O3HfS2-70%RH,0,1.000,Ref[13]
Al2O3HfS2-70%RH,3,0.970,Ref[13]
Al2O3HfS2-70%RH,7,0.940,Ref[13]
Al2O3HfS2-70%RH,14,0.900,Ref[13]
Al2O3HfS2-70%RH,28,0.865,Ref[13]
PMMA HfS2-70%RH,0,1.000,Ref[13]
PMMA HfS2-70%RH,3,0.830,Ref[13]
PMMA HfS2-70%RH,7,0.660,Ref[13]
PMMA HfS2-70%RH,14,0.500,Ref[13]
PMMA HfS2-70%RH,28,0.527,Ref[13]
