name,role,condition,day,roi_x0,roi_y0,roi_x1,roi_y1,lab_L,lab_a,lab_b,s_mean,yellowness_idx,delta_e
0day_35RH_NativeHFS2.jpg,reference_library,NativeHfS2-35%RH,0,105,239,495,433,81.3241,-3.0706,14.6935,25.9405,39.4411,0.0000
0day_35RH_NativeHFS2.png,query,NativeHfS2-35%RH,0,74,116,176,233,81.6667,-3.4690,13.8334,24.6078,38.2671,0.0000
0day_70RH_Al2O3HFS2.jpg,reference_library,Al2O3HfS2-70%RH,0,142,289,523,562,76.4010,-5.9346,27.8029,55.3903,56.6282,0.0000
0day_70RH_Al2O3HFS2.png,query,Al2O3HfS2-70%RH,0,65,115,176,224,76.3698,-5.3852,27.8232,54.4160,56.5295,0.0000
0day_70RH_NativeHFS2.jpg,reference_library,NativeHfS2-70%RH,0,53,196,315,354,80.7002,-3.0818,22.2660,40.9348,50.1166,0.0000
0day_70RH_NativeHFS2.png,query,NativeHfS2-70%RH,0,141,52,255,157,77.6646,-6.1048,33.3130,66.2029,63.3297,0.0000
0day_70RH_PMMA_HFS2.jpg,reference_library,PMMA HfS2-70%RH,0,79,264,490,548,86.3694,-1.8521,8.3013,13.0397,31.2393,0.0000
0day_70RH_PMMA_HFS2.png,query,PMMA HfS2-70%RH,0,113,84,239,179,78.9896,-2.1687,10.3946,19.0552,35.1407,0.0000
13day_70RH_NativeHFS2.png,query,NativeHfS2-70%RH,13,137,102,250,181,85.1655,0.0035,3.1340,5.4668,26.6105,31.6914
14day_35RH_NativeHFS2.jpg,reference_library,NativeHfS2-35%RH,14,74,190,349,344,80.6645,-2.1249,8.0186,14.3310,31.7782,6.7738
14day_35RH_NativeHFS2.png,query,NativeHfS2-35%RH,14,51,156,146,282,80.3909,-2.0021,8.5870,15.2575,32.4841,5.5951
14day_70RH_Al2O3HFS2.jpg,reference_library,Al2O3HfS2-70%RH,14,158,329,582,640,78.5431,-3.7947,21.5424,40.5543,48.9008,6.9543
14day_70RH_Al2O3HFS2.png,query,Al2O3HfS2-70%RH,14,112,122,238,217,78.5028,-3.9251,21.6060,40.0450,48.8674,6.7331
14day_70RH_NativeHFS2.jpg,reference_library,NativeHfS2-70%RH,14,59,231,351,416,86.7444,-0.9144,3.0161,4.1008,25.1440,20.2926
14day_70RH_NativeHFS2.png,query,NativeHfS2-70%RH,14,100,120,224,243,87.0399,-0.8601,3.0081,4.1486,25.1918,32.1525
14day_70RH_PMMA_HFS2.jpg,reference_library,PMMA HfS2-70%RH,14,81,271,502,561,83.3795,-1.9018,5.6127,8.6606,27.8314,4.0212
